price,name,date,area,href
450,Casio fx-991es scientific calculator in excellent,27  May						    						,"Mumbai Central, Mumbai",https://www.olx.in/item/casio-fx-991es-scientific-calculator-in-excellent-ID19WZo7.html#af53677832
4000,4 Vintage Casio scientific calculators in good condition,17  May						    						,"Borivali West, Mumbai",https://www.olx.in/item/4-vintage-casio-scientific-calculators-in-good-condition-ID1bQ1hh.html#af53677832
500,Casio - Scientific Calculator,16  May						    						,"Ghatkopar, Mumbai",https://www.olx.in/item/casio-scientific-calculator-ID1bKBHD.html#af53677832
499,Casio 991-ms Scientific calculator Just used for,7  May						    						,"Borivali, Mumbai",https://www.olx.in/item/casio-991-ms-scientific-calculator-just-used-for-ID1bxqYN.html#af53677832
,Scientific calculator fx 82MS for 300/- only,18  Apr						    						,"Goregaon, Mumbai",https://www.olx.in/item/scientific-calculator-fx-82ms-for-300-only-ID1bhuxn.html#af53677832
450,fx-82MS scientific calculator.Price is negotiable.,16  Apr						    						,"Chuna Bhati, Mumbai",https://www.olx.in/item/fx-82ms-scientific-calculator-price-is-negotiable-ID1b835F.html#af53677832
450,Black Casio scientific Calculator 991Ms,14  Apr						    						,"Vikhroli West, Mumbai",https://www.olx.in/item/black-casio-scientific-calculator-991ms-ID1b61Qt.html#af53677832
500,Casio scientific calculator model- fx-100ms good,11  Apr						    						,"Kandivali, Mumbai",https://www.olx.in/item/casio-scientific-calculator-model-fx-100ms-good-ID1b2y4w.html#af53677832
200,Casio fx-82Ms scientific calculator in excellent,7  Apr						    						,"Jogeshwari, Mumbai",https://www.olx.in/item/casio-fx-82ms-scientific-calculator-in-excellent-ID19e9Ph.html#af53677832
400,scientific calculator : fx82MS,14  Mar						    						,"Guru Teg Bahadur Nagar, Mumbai",https://www.olx.in/item/scientific-calculator-fx82ms-ID1amQJd.html#af53677832
300,Casio fx-991Ms scientific calculator in new,19  Feb						    						,"Mumbai Central, Mumbai",https://www.olx.in/item/casio-fx-991ms-scientific-calculator-in-new-ID19MTLL.html#af53677832
200,Scientific calculator Casio fx-82Ms.,12  Feb						    						,"Mumbai Central, Mumbai",https://www.olx.in/item/scientific-calculator-casio-fx-82ms-ID19Oip9.html#af53677832
300,Casio fx-991Ms scientific calculator.,7  Feb						    						,"Mumbai Central, Mumbai",https://www.olx.in/item/casio-fx-991ms-scientific-calculator-ID19uoOP.html#af53677832
550,Gray And Black Casio Scientific Calculator,6  Feb						    						,"Kandivali West, Mumbai",https://www.olx.in/item/gray-and-black-casio-scientific-calculator-ID18yfSx.html#af53677832
300,Casio Fx82ms - 10+2 Digit Scientific Calculator With Multi-replay Func,15  Nov						    						,"Bandra, Mumbai",https://www.olx.in/item/casio-fx82ms-10-2-digit-scientific-calculator-with-multi-replay-func-ID184x5t.html#af53677832
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
450,Grey Casio Scientific Calculator,Yesterday						    						,"Vidya Vihar, Mumbai",https://www.olx.in/item/grey-casio-scientific-calculator-ID1cIMaH.html#59915fb10a
390,Casio fx-100MS Scientific Calculator,Yesterday						    						,"Kandivali, Mumbai",https://www.olx.in/item/casio-fx-100ms-scientific-calculator-ID1bVa5F.html#59915fb10a
700,Silver Casio Scientific Calculator With Black Case,Yesterday						    						,"Bhandup, Mumbai",https://www.olx.in/item/silver-casio-scientific-calculator-with-black-case-ID1cHLDL.html#59915fb10a
240,Casio fx-991Ms scientific calculator,28  Jun						    						,"Mumbai Central, Mumbai",https://www.olx.in/item/casio-fx-991ms-scientific-calculator-ID1cHpmB.html#59915fb10a
200,Black Casio Scientific Calculator,28  Jun						    						,"Mumbai Central, Mumbai",https://www.olx.in/item/black-casio-scientific-calculator-ID1cHoSX.html#59915fb10a
650,Grey And White Casio Scientific Calculator,28  Jun						    						,"Vidya Vihar, Mumbai",https://www.olx.in/item/grey-and-white-casio-scientific-calculator-ID1cqDpD.html#59915fb10a
350,scientific calculator rarely used!,28  Jun						    						,"Kandivali West, Mumbai",https://www.olx.in/item/scientific-calculator-rarely-used-ID1cGSqx.html#59915fb10a
400,scientific calculator,28  Jun						    						,"Kandivali West, Mumbai",https://www.olx.in/item/scientific-calculator-ID1cGQ7f.html#59915fb10a
399,A compulsory required scientific calculator for,27  Jun						    						,"Kandivali West, Mumbai",https://www.olx.in/item/a-compulsory-required-scientific-calculator-for-ID1cGrCt.html#59915fb10a
600,Casio fx-991ES scientific calculator for engineers,27  Jun						    						,"Mumbai CST Area, Mumbai",https://www.olx.in/item/casio-fx-991es-scientific-calculator-for-engineers-ID1cFOgb.html#59915fb10a
350,Black Casio S.V.PAM Scientific Calculator,26  Jun						    						,"Kandivali West, Mumbai",https://www.olx.in/item/black-casio-s-v-pam-scientific-calculator-ID1cFbWW.html#59915fb10a
900,Full working condition scientific calculator,26  Jun						    						,"Andheri, Mumbai",https://www.olx.in/item/full-working-condition-scientific-calculator-ID1c5Nrf.html#59915fb10a
400,fx-991ES Scientific Calculator,26  Jun						    						,"Chuna Bhati, Mumbai",https://www.olx.in/item/fx-991es-scientific-calculator-ID1ch4ll.html#59915fb10a
300,new scientific calculator MS 82 with front panel,25  Jun						    						,"Santacruz, Mumbai",https://www.olx.in/item/new-scientific-calculator-ms-82-with-front-panel-ID1cDtBZ.html#59915fb10a
200,Black Casio Scientific Calculator,25  Jun						    						,"Kurla West, Mumbai",https://www.olx.in/item/black-casio-scientific-calculator-ID1cDqBW.html#59915fb10a
430,Casio fx-991es scientific calculator hardly used,24  Jun						    						,"Mumbai Central, Mumbai",https://www.olx.in/item/casio-fx-991es-scientific-calculator-hardly-used-ID1cBZCr.html#59915fb10a
350,Casio fx-82 MS scientific calculator,24  Jun						    						,"Malad West, Mumbai",https://www.olx.in/item/casio-fx-82-ms-scientific-calculator-ID1cBvwr.html#59915fb10a
200,Blue Casio Scientific Calculator,23  Jun						    						,"Borivali, Mumbai",https://www.olx.in/item/blue-casio-scientific-calculator-ID1cAWlr.html#59915fb10a
250,Black Casio Scientific Calculator,23  Jun						    						,"Borivali, Mumbai",https://www.olx.in/item/black-casio-scientific-calculator-ID1cAWhF.html#59915fb10a
200,Cello scientific calculator fx-991Ms in good,23  Jun						    						,"Mumbai Central, Mumbai",https://www.olx.in/item/cello-scientific-calculator-fx-991ms-in-good-ID1crxAt.html#59915fb10a
550,CASIO FX 991MS ...Scientific Calculator...1 year,21  Jun						    						,"Jogeshwari, Mumbai",https://www.olx.in/item/casio-fx-991ms-scientific-calculator-1-year-ID1cyADB.html#59915fb10a
250,Casio Scientific Calculator,21  Jun						    						,"Dahisar, Mumbai",https://www.olx.in/item/casio-scientific-calculator-ID1cxELF.html#59915fb10a
400,Scientific Engineering calculator CASIO fx 991MS,19  Jun						    						,"Malad, Mumbai",https://www.olx.in/item/scientific-engineering-calculator-casio-fx-991ms-ID1clAkz.html#59915fb10a
550,Gray And White Casio Scientific Calculator,19  Jun						    						,"Upper Worli, Mumbai",https://www.olx.in/item/gray-and-white-casio-scientific-calculator-ID1cmpGN.html#59915fb10a
600,Gray Scientific Calculator,18  Jun						    						,"Bhandup West, Mumbai",https://www.olx.in/item/gray-scientific-calculator-ID1cutOH.html#59915fb10a
350,Scientific calculator,18  Jun						    						,"Kandivali West, Mumbai",https://www.olx.in/item/scientific-calculator-ID1cuaWX.html#59915fb10a
400,Casio Fx-991es Scientific Calculator (two Way Powered),15  Jun						    						,"Borivali, Mumbai",https://www.olx.in/item/casio-fx-991es-scientific-calculator-two-way-powered-ID1cr6p9.html#59915fb10a
300,Casio fx - 82 MS Scientific calculator 2017 Model,14  Jun						    						,"Dahisar, Mumbai",https://www.olx.in/item/casio-fx-82-ms-scientific-calculator-2017-model-ID1cpJB5.html#59915fb10a
420,Casio Scientific Calculator Fx-991MS,13  Jun						    						,"Bhandup Industrial Area, Mumbai",https://www.olx.in/item/casio-scientific-calculator-fx-991ms-ID1brqpx.html#59915fb10a
400,casio fx-991ES scientific calculator working properly,11  Jun						    						,"Malad, Mumbai",https://www.olx.in/item/casio-fx-991es-scientific-calculator-working-properly-ID1c4A21.html#59915fb10a
2300,Black And Gray BA 2-PLus Scientific Calculator In Pack,10  Jun						    						,"Andheri, Mumbai",https://www.olx.in/item/black-and-gray-ba-2-plus-scientific-calculator-in-pack-ID1ckfPP.html#59915fb10a
100,Casio Scientific Calculator FX-100 Z,8  Jun						    						,"Andheri East, Mumbai",https://www.olx.in/item/casio-scientific-calculator-fx-100-z-ID1ci2H7.html#59915fb10a
1300,Casio scientific calculator,8  Jun						    						,"Gamdevi, Mumbai",https://www.olx.in/item/casio-scientific-calculator-ID1chozX.html#59915fb10a
400,Casio fx-991MS scientific calculator,7  Jun						    						,"Powai, Mumbai",https://www.olx.in/item/casio-fx-991ms-scientific-calculator-ID1cgwoB.html#59915fb10a
650,Casio FX-991 MS Scientific Calculator. Brand new box packed item,5  Jun						    						,"Borivali West, Mumbai",https://www.olx.in/item/casio-fx-991-ms-scientific-calculator-brand-new-box-packed-item-ID1c78bZ.html#59915fb10a
400,Grey And Black Casio Scientific Calculator,4  Jun						    						,"Mulund, Mumbai",https://www.olx.in/item/grey-and-black-casio-scientific-calculator-ID1aX3fj.html#59915fb10a
300,"scientific calculator, second hand for sale. no",3  Jun						    						,"Tilak Nagar, Mumbai",https://www.olx.in/item/scientific-calculator-second-hand-for-sale-no-ID1cbJEh.html#59915fb10a
450,Casio fx-991es scientific calculator in excellent,1  Jun						    						,"Mumbai Central, Mumbai",https://www.olx.in/item/casio-fx-991es-scientific-calculator-in-excellent-ID1bRMof.html#59915fb10a
